t (sec),x (cm),y (cm)
2.64,3.681,0.875
2.65,3.636,0.932
2.66,3.604,0.95
2.67,3.562,0.953
2.68,3.508,0.957
2.69,3.452,0.969
2.7,3.404,0.979
2.71,3.373,0.988
2.72,3.348,0.993
2.73,3.323,1.001
2.74,3.303,1.013
2.75,3.283,1.03
2.76,3.252,1.044
2.77,3.223,1.052
2.78,3.206,1.06
2.79,3.198,1.066
2.8,3.198,1.068
2.81,3.203,1.068
2.82,3.239,1.062
2.83,3.305,1.039
2.84,3.394,1.004
2.85,3.494,0.963
2.86,3.583,0.926
2.87,3.644,0.896
2.88,3.67,0.88
2.89,3.67,0.877
2.9,3.646,0.882
2.91,3.599,0.912
2.92,3.539,0.959
2.93,3.492,1.006
2.94,3.481,1.04
2.95,3.49,1.061
2.96,3.521,1.074
2.97,3.58,1.074
2.98,3.664,1.048
2.99,3.756,1.007
3,3.832,0.965
3.01,3.877,0.926
3.02,3.89,0.888
3.03,3.885,0.844
3.04,3.862,0.796
3.05,3.838,0.759
3.06,3.815,0.74
3.07,3.796,0.735
3.08,3.787,0.735
3.09,3.786,0.743
3.1,3.786,0.772
3.11,3.792,0.817
3.12,3.816,0.873
3.13,3.862,0.927
3.14,3.926,0.978
3.15,4,1.021
3.16,4.083,1.052
3.17,4.121,1.061
3.18,4.2,1.067
3.19,4.23,1.049
3.2,4.248,1.016
3.21,4.253,0.976
3.22,4.253,0.941
3.23,4.22,0.931
3.24,4.18,0.928
3.25,4.147,0.933
3.26,4.125,0.927
3.27,4.119,0.91
3.28,4.119,0.892
3.29,4.133,0.869
3.3,4.168,0.842
3.31,4.227,0.812
3.32,4.296,0.784
3.33,4.368,0.757
3.34,4.441,0.731
3.35,4.511,0.699
3.36,4.575,0.659
3.37,4.635,0.616
3.38,4.685,0.58
3.39,4.71,0.559
3.4,4.717,0.55
3.41,4.715,0.549
3.42,4.692,0.556
3.43,4.648,0.59
3.44,4.588,0.647
3.45,4.534,0.718
3.46,4.506,0.779
3.47,4.504,0.822
3.48,4.521,0.848
3.49,4.549,0.859
3.5,4.587,0.862
3.51,4.636,0.857
3.52,4.688,0.83
3.53,4.732,0.794
3.54,4.764,0.767
3.55,4.78,0.758
3.56,4.788,0.76
3.57,4.8,0.781
3.58,4.809,0.825
3.59,4.818,0.886
3.6,4.838,0.946
3.61,4.863,1.002
3.62,4.874,1.04
3.63,4.87,1.113
3.64,4.848,1.142
3.65,4.828,1.162
3.66,4.801,1.182
3.67,4.759,1.203
3.68,4.703,1.211
3.69,4.669,1.209
3.7,4.656,1.19
3.71,4.655,1.158
3.72,4.659,1.117
3.73,4.682,1.066
3.74,4.726,1.006
3.75,4.782,0.94
3.76,4.841,0.872
3.77,4.883,0.806
3.78,4.895,0.742
3.79,4.877,0.677
3.8,4.83,0.626
3.81,4.76,0.593
3.82,4.649,0.581
3.83,4.49,0.576
3.84,4.293,0.581
3.85,4.082,0.606
3.86,3.875,0.639
3.87,3.699,0.677
3.88,3.561,0.715
3.89,3.449,0.742
3.9,3.364,0.756
3.91,3.293,0.77
3.92,3.251,0.777
3.93,3.24,0.778
3.94,3.239,0.778
3.95,3.256,0.778
3.96,3.307,0.777
3.97,3.406,0.756
3.98,3.558,0.717
3.99,3.769,0.66
4,4.022,0.588
4.01,4.278,0.513
4.02,4.511,0.451
4.03,4.711,0.4
4.04,4.864,0.358
4.05,4.96,0.327
4.06,5.001,0.311
4.07,5.001,0.303
4.08,4.96,0.297
4.09,4.877,0.302
4.1,4.814,0.318
4.11,4.662,0.36
4.12,4.613,0.373
4.13,4.604,0.373
4.14,4.644,0.374
4.15,4.718,0.374
4.16,4.821,0.368
4.17,4.955,0.361
4.18,5.107,0.351
4.19,5.253,0.347
4.2,5.37,0.344
4.21,5.455,0.353
4.22,5.513,0.388
4.23,5.544,0.431
4.24,5.55,0.47
4.25,5.552,0.513
4.26,5.541,0.546
4.27,5.51,0.558
4.28,5.473,0.559
4.29,5.439,0.555
4.3,5.43,0.547
4.31,5.432,0.536
4.32,5.444,0.53
4.33,5.469,0.531
4.34,5.509,0.541
4.35,5.544,0.561
4.36,5.561,0.59
4.37,5.561,0.625
4.38,5.528,0.672
4.39,5.477,0.72
4.4,5.434,0.751
4.41,5.418,0.765
4.42,5.419,0.766
4.43,5.45,0.752
4.44,5.489,0.727
4.45,5.571,0.67
4.46,5.631,0.619
4.47,5.677,0.567
4.48,5.715,0.515
4.49,5.74,0.471
4.5,5.745,0.444
4.51,5.728,0.43
4.52,5.705,0.424
4.53,5.689,0.42
4.54,5.688,0.422
4.55,5.688,0.455
4.56,5.692,0.515
4.57,5.714,0.59
4.58,5.751,0.672
4.59,5.783,0.757
4.6,5.802,0.838
4.61,5.809,0.889
4.62,5.809,0.909
4.63,5.795,0.911
4.64,5.772,0.888
4.65,5.756,0.844
4.66,5.755,0.798
4.67,5.79,0.76
4.68,5.845,0.738
4.69,5.895,0.736
4.7,5.933,0.764
4.71,5.956,0.812
4.72,5.96,0.875
4.73,5.944,0.947
4.74,5.892,1.021
4.75,5.815,1.083
4.76,5.732,1.129
4.77,5.658,1.154
4.78,5.597,1.163
4.79,5.553,1.163
4.8,5.539,1.137
4.81,5.55,1.076
4.82,5.6,0.977
4.83,5.667,0.855
4.84,5.735,0.722
4.85,5.794,0.599
4.86,5.848,0.495
4.87,5.9,0.419
4.88,5.943,0.38
4.89,5.96,0.367
4.9,5.96,0.365
4.91,5.959,0.371
4.92,5.959,0.401
4.93,5.957,0.444
4.94,5.979,0.484
4.95,6.032,0.513
4.96,6.112,0.522
4.97,6.216,0.511
4.98,6.326,0.476
4.99,6.414,0.442
5,6.473,0.4
5.01,6.504,0.35
5.02,6.509,0.293
5.03,6.505,0.244
5.04,6.485,0.21
5.05,6.472,0.194
5.06,6.465,0.192
5.07,6.464,0.194
5.08,6.467,0.217
5.09,6.486,0.261
5.1,6.504,0.327
5.11,6.518,0.405
5.12,6.536,0.48
5.13,6.558,0.545
5.14,6.577,0.587
5.15,6.587,0.606
5.16,6.588,0.608
5.17,6.578,0.595
5.18,6.542,0.567
5.19,6.481,0.536
5.2,6.393,0.519
5.21,6.297,0.521
5.22,6.222,0.544
5.23,6.182,0.577
5.24,6.174,0.62
5.25,6.19,0.665
5.26,6.254,0.708
5.27,6.354,0.737
5.28,6.476,0.74
5.29,6.554,0.73
5.3,6.666,0.694
5.31,6.735,0.652
5.32,6.788,0.595
5.33,6.83,0.522
5.34,6.859,0.431
5.35,6.874,0.338
5.36,6.878,0.262
5.37,6.875,0.207
5.38,6.862,0.181
5.39,6.845,0.153
5.4,6.835,0.14
5.41,6.827,0.139
5.42,6.826,0.14
5.43,6.826,0.159
5.44,6.831,0.224
5.45,6.846,0.337
5.46,6.884,0.477
5.47,6.944,0.645
5.48,7.014,0.827
5.49,7.088,0.982
5.5,7.15,1.11
5.51,7.188,1.214
5.52,7.22,1.277
5.53,7.248,1.303
5.54,7.257,1.302
5.55,7.257,1.286
5.56,7.179,1.187
5.57,7.076,1.084
5.58,6.943,0.967
5.59,6.798,0.849
5.6,6.652,0.741
5.61,6.51,0.645
5.62,6.368,0.562
5.63,6.227,0.491
5.64,6.086,0.441
5.65,5.947,0.425
5.66,5.812,0.42
5.67,5.687,0.441
5.68,5.585,0.467
5.69,5.522,0.475
5.7,5.479,0.477
5.71,5.446,0.481
5.72,5.42,0.482
5.73,5.398,0.484
5.74,5.391,0.486
5.75,5.401,0.488
5.76,5.458,0.486
5.77,5.574,0.456
5.78,5.762,0.4
5.79,6.003,0.327
5.8,6.262,0.249
5.81,6.514,0.176
5.82,6.729,0.114
5.83,6.898,0.065
5.84,7.025,0.028
5.85,7.104,0.008
5.86,7.136,0.002
5.87,7.128,0
